Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA,Upper Name
Journal of Tropical Medicine,J TROP MED-US,WILEY,1687-9686,1687-9694,TROPICAL MEDICINE,SCIE,"1,343",2.5,Q1,0.72,100%,JOURNAL OF TROPICAL MEDICINE
RESEARCH IN NURSING & HEALTH,RES NURS HEALTH,WILEY,0160-6891,1098-240X,NURSING,"SCIE, SSCI","7,219",2.4,Q1,1.09,25.49%,RESEARCH IN NURSING & HEALTH
SCANDINAVIAN POLITICAL STUDIES,SCAND POLIT STUD,WILEY,0080-6757,1467-9477,POLITICAL SCIENCE,SSCI,"1,034",2.4,Q1,1.05,73.33%,SCANDINAVIAN POLITICAL STUDIES
JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION,J ANIM PHYSIOL AN N,WILEY,0931-2439,1439-0396,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",SCIE,"5,964",2.4,Q1,0.92,17.75%,JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION
JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION,J ANIM PHYSIOL AN N,WILEY,0931-2439,1439-0396,VETERINARY SCIENCES,SCIE,"5,964",2.4,Q1,0.92,17.75%,JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION
LEGISLATIVE STUDIES QUARTERLY,LEGIS STUD QUART,WILEY,0362-9805,1939-9162,POLITICAL SCIENCE,SSCI,"1,606",2.4,Q1,0.86,36.46%,LEGISLATIVE STUDIES QUARTERLY
WORLD ECONOMY,WORLD ECON,WILEY,0378-5920,1467-9701,INTERNATIONAL RELATIONS,SSCI,"4,848",2.4,Q1,0.8,28.27%,WORLD ECONOMY
INTERNATIONAL JOURNAL OF CLINICAL PRACTICE,INT J CLIN PRACT,WILEY,1368-5031,1742-1241,"MEDICINE, GENERAL & INTERNAL",SCIE,"8,081",2.4,Q1,0.61,100%,INTERNATIONAL JOURNAL OF CLINICAL PRACTICE
Review of European Comparative & International Environmental Law,REV EUR COMP INT ENV,WILEY,2050-0386,2050-0394,LAW,SSCI,816,2.3,Q1,1.73,64%,REVIEW OF EUROPEAN COMPARATIVE & INTERNATIONAL ENVIRONMENTAL LAW
STUDIES IN APPLIED MATHEMATICS,STUD APPL MATH,WILEY,0022-2526,1467-9590,"MATHEMATICS, APPLIED",SCIE,"2,781",2.3,Q1,1.33,22.99%,STUDIES IN APPLIED MATHEMATICS
PALAEONTOLOGY,PALAEONTOLOGY,WILEY,0031-0239,1475-4983,PALEONTOLOGY,SCIE,"4,525",2.3,Q1,1.26,51.38%,PALAEONTOLOGY
HIGHER EDUCATION QUARTERLY,HIGH EDUC Q,WILEY,0951-5224,1468-2273,EDUCATION & EDUCATIONAL RESEARCH,ESCI,"1,377",2.3,Q1,1.24,44.85%,HIGHER EDUCATION QUARTERLY
CLINICAL ANATOMY,CLIN ANAT,WILEY,0897-3806,1098-2353,ANATOMY & MORPHOLOGY,SCIE,"5,491",2.3,Q1,1.23,24.59%,CLINICAL ANATOMY
AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,AM J COMMUN PSYCHOL,WILEY,0091-0562,1573-2770,SOCIAL WORK,SSCI,"7,372",2.3,Q1,1.18,43.68%,AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY
Nursing Research and Practice,NURS RES PRACT,WILEY,2090-1429,2090-1437,NURSING,ESCI,800,2.3,Q1,1.17,100%,NURSING RESEARCH AND PRACTICE
Nursing Open,NURS OPEN,WILEY,2054-1058,2054-1058,NURSING,"SCIE, SSCI","5,593",2.3,Q1,1.07,95.33%,NURSING OPEN
JOURNAL OF MIDWIFERY & WOMENS HEALTH,J MIDWIFERY WOM HEAL,WILEY,1526-9523,1542-2011,NURSING,"SCIE, SSCI","2,984",2.3,Q1,0.99,32.58%,JOURNAL OF MIDWIFERY & WOMENS HEALTH
HASTINGS CENTER REPORT,HASTINGS CENT REP,WILEY,0093-0334,1552-146X,ETHICS,SSCI,"2,138",2.3,Q1,0.91,21.95%,HASTINGS CENTER REPORT
HEALTH & SOCIAL CARE IN THE COMMUNITY,HEALTH SOC CARE COMM,WILEY,0966-0410,1365-2524,SOCIAL WORK,SSCI,"7,385",2.3,Q1,0.82,71.69%,HEALTH & SOCIAL CARE IN THE COMMUNITY
Transactions in GIS,T GIS,WILEY,1361-1682,1467-9671,GEOGRAPHY,SSCI,"2,862",2.3,Q1,0.82,22.59%,TRANSACTIONS IN GIS
Zoonoses and Public Health,ZOONOSES PUBLIC HLTH,WILEY,1863-1959,1863-2378,VETERINARY SCIENCES,SCIE,"2,917",2.3,Q1,0.81,36.57%,ZOONOSES AND PUBLIC HEALTH
INSECT MOLECULAR BIOLOGY,INSECT MOL BIOL,WILEY,0962-1075,1365-2583,ENTOMOLOGY,SCIE,"3,616",2.3,Q1,0.8,25.62%,INSECT MOLECULAR BIOLOGY
European Law Journal,EUR LAW J,WILEY,1351-5993,1468-0386,LAW,SSCI,849,2.2,Q1,2.21,56.96%,EUROPEAN LAW JOURNAL
Feminist Anthropology,FEM ANTHROPOL,WILEY,2643-7961,2643-7961,ANTHROPOLOGY,ESCI,259,2.2,Q1,1.44,35.53%,FEMINIST ANTHROPOLOGY
Feminist Anthropology,FEM ANTHROPOL,WILEY,2643-7961,2643-7961,WOMENS STUDIES,ESCI,259,2.2,Q1,1.44,35.53%,FEMINIST ANTHROPOLOGY
GLOBAL NETWORKS-A JOURNAL OF TRANSNATIONAL AFFAIRS,GLOBAL NETW,WILEY,1470-2266,1471-0374,ANTHROPOLOGY,SSCI,"2,105",2.2,Q1,1.3,55.63%,GLOBAL NETWORKS-A JOURNAL OF TRANSNATIONAL AFFAIRS
GLOBAL NETWORKS-A JOURNAL OF TRANSNATIONAL AFFAIRS,GLOBAL NETW,WILEY,1470-2266,1471-0374,SOCIOLOGY,SSCI,"2,105",2.2,Q1,1.3,55.63%,GLOBAL NETWORKS-A JOURNAL OF TRANSNATIONAL AFFAIRS
Papers in Palaeontology,PAP PALAEONTOL,WILEY,2056-2799,2056-2802,PALEONTOLOGY,SCIE,815,2.2,Q1,1.21,40.13%,PAPERS IN PALAEONTOLOGY
EQUINE VETERINARY JOURNAL,EQUINE VET J,WILEY,0425-1644,2042-3306,VETERINARY SCIENCES,SCIE,"7,619",2.2,Q1,1.17,56.85%,EQUINE VETERINARY JOURNAL
HEAD AND NECK-JOURNAL FOR THE SCIENCES AND SPECIALTIES OF THE HEAD AND NECK,HEAD NECK-J SCI SPEC,WILEY,1043-3074,1097-0347,OTORHINOLARYNGOLOGY,SCIE,"15,084",2.2,Q1,1.15,23.52%,HEAD AND NECK-JOURNAL FOR THE SCIENCES AND SPECIALTIES OF THE HEAD AND NECK
JOURNAL OF VETERINARY INTERNAL MEDICINE,J VET INTERN MED,WILEY,0891-6640,1939-1676,VETERINARY SCIENCES,SCIE,"12,757",2.2,Q1,1.12,94.59%,JOURNAL OF VETERINARY INTERNAL MEDICINE
SOCIAL POLICY & ADMINISTRATION,SOC POLICY ADMIN,WILEY,0144-5596,1467-9515,SOCIAL WORK,SSCI,"2,616",2.2,Q1,1.09,66.12%,SOCIAL POLICY & ADMINISTRATION
FAMILY PROCESS,FAM PROCESS,WILEY,0014-7370,1545-5300,FAMILY STUDIES,SSCI,"4,375",2.2,Q1,1.01,37.38%,FAMILY PROCESS
Mind Brain and Education,MIND BRAIN EDUC,WILEY,1751-2271,1751-228X,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"1,256",2.2,Q1,0.96,47.52%,MIND BRAIN AND EDUCATION
JOURNAL OF FISH DISEASES,J FISH DIS,WILEY,0140-7775,1365-2761,VETERINARY SCIENCES,SCIE,"5,975",2.2,Q1,0.92,22.86%,JOURNAL OF FISH DISEASES
PERSONAL RELATIONSHIPS,PERS RELATIONSHIP,WILEY,1350-4126,1475-6811,FAMILY STUDIES,SSCI,"3,004",2.2,Q1,0.8,37.18%,PERSONAL RELATIONSHIPS
IBIS,IBIS,WILEY,0019-1019,1474-919X,ORNITHOLOGY,SCIE,"5,359",2.1,Q1,1.4,41.55%,IBIS
BRITISH EDUCATIONAL RESEARCH JOURNAL,BRIT EDUC RES J,WILEY,0141-1926,1469-3518,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"3,895",2.1,Q1,1.28,73.29%,BRITISH EDUCATIONAL RESEARCH JOURNAL
Anatomical Record-Advances in Integrative Anatomy and Evolutionary Biology,ANAT REC,WILEY,1932-8486,1932-8494,ANATOMY & MORPHOLOGY,SCIE,"6,979",2.1,Q1,1.21,27.21%,ANATOMICAL RECORD-ADVANCES IN INTEGRATIVE ANATOMY AND EVOLUTIONARY BIOLOGY
Sociology Compass,SOCIOL COMPASS,WILEY,1751-9020,1751-9020,SOCIOLOGY,SSCI,"4,301",2.1,Q1,1.19,41.44%,SOCIOLOGY COMPASS
NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS,NUMER LINEAR ALGEBR,WILEY,1070-5325,1099-1506,MATHEMATICS,SCIE,"2,052",2.1,Q1,1.15,30.52%,NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS
NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS,NUMER LINEAR ALGEBR,WILEY,1070-5325,1099-1506,"MATHEMATICS, APPLIED",SCIE,"2,052",2.1,Q1,1.15,30.52%,NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS
New Directions for Child and Adolescent Development,NEW DIR CHILD ADOLES,WILEY,1520-3247,1534-8687,SOCIOLOGY,SSCI,"2,015",2.1,Q1,1.09,47.22%,NEW DIRECTIONS FOR CHILD AND ADOLESCENT DEVELOPMENT
MICROSCOPY RESEARCH AND TECHNIQUE,MICROSC RES TECHNIQ,WILEY,1059-910X,1097-0029,ANATOMY & MORPHOLOGY,SCIE,"7,153",2.1,Q1,1.03,12.97%,MICROSCOPY RESEARCH AND TECHNIQUE
JOURNAL OF COMPARATIVE NEUROLOGY,J COMP NEUROL,WILEY,0021-9967,1096-9861,ZOOLOGY,SCIE,"21,696",2.1,Q1,0.96,41.03%,JOURNAL OF COMPARATIVE NEUROLOGY
INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,INT J LANG COMM DIS,WILEY,1368-2822,1460-6984,LINGUISTICS,SSCI,"4,013",2.1,Q1,0.91,57.62%,INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS
JOURNAL OF CHEMOMETRICS,J CHEMOMETR,WILEY,0886-9383,1099-128X,STATISTICS & PROBABILITY,SCIE,"3,936",2.1,Q1,0.53,26.42%,JOURNAL OF CHEMOMETRICS
Nations and Nationalism,NATIONS NATL,WILEY,1354-5078,1469-8129,ETHNIC STUDIES,SSCI,"2,075",2,Q1,2.04,52.54%,NATIONS AND NATIONALISM
Nations and Nationalism,NATIONS NATL,WILEY,1354-5078,1469-8129,HISTORY,SSCI,"2,075",2,Q1,2.04,52.54%,NATIONS AND NATIONALISM
AMERICAN ETHNOLOGIST,AM ETHNOL,WILEY,0094-0496,1548-1425,ANTHROPOLOGY,SSCI,"3,724",2,Q1,1.5,53.13%,AMERICAN ETHNOLOGIST
Depositional Record,DEPOS REC,WILEY,N/A,2055-4877,GEOLOGY,SCIE,542,2,Q1,1.02,97.04%,DEPOSITIONAL RECORD
JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,J INTELL DISABIL RES,WILEY,0964-2633,1365-2788,"EDUCATION, SPECIAL",SSCI,"5,505",2,Q1,0.99,48.74%,JOURNAL OF INTELLECTUAL DISABILITY RESEARCH
ZOOLOGICA SCRIPTA,ZOOL SCR,WILEY,0300-3256,1463-6409,ZOOLOGY,SCIE,"2,619",2,Q1,0.97,27.22%,ZOOLOGICA SCRIPTA
American Journal of Biological Anthropology,AM J BIOL ANTHROPOL,WILEY,2692-7691,2692-7691,ANTHROPOLOGY,SSCI,749,2,Q1,0.96,40%,AMERICAN JOURNAL OF BIOLOGICAL ANTHROPOLOGY
JOURNAL OF APPLIED ENTOMOLOGY,J APPL ENTOMOL,WILEY,0931-2048,1439-0418,ENTOMOLOGY,SCIE,"4,178",2,Q1,0.88,28.42%,JOURNAL OF APPLIED ENTOMOLOGY
JOURNAL OF COMMUNITY PSYCHOLOGY,J COMMUNITY PSYCHOL,WILEY,0090-4392,1520-6629,SOCIAL WORK,SSCI,"5,144",2,Q1,0.85,31.04%,JOURNAL OF COMMUNITY PSYCHOLOGY
LEGAL AND CRIMINOLOGICAL PSYCHOLOGY,LEGAL CRIMINOL PSYCH,WILEY,1355-3259,2044-8333,CRIMINOLOGY & PENOLOGY,SSCI,815,1.9,Q1,1.47,63.83%,LEGAL AND CRIMINOLOGICAL PSYCHOLOGY
LEGAL AND CRIMINOLOGICAL PSYCHOLOGY,LEGAL CRIMINOL PSYCH,WILEY,1355-3259,2044-8333,LAW,SSCI,815,1.9,Q1,1.47,63.83%,LEGAL AND CRIMINOLOGICAL PSYCHOLOGY
JOURNAL OF LAW AND SOCIETY,J LAW SOC,WILEY,0263-323X,1467-6478,LAW,SSCI,"1,168",1.9,Q1,1.25,69.44%,JOURNAL OF LAW AND SOCIETY
MEDICAL ANTHROPOLOGY QUARTERLY,MED ANTHROPOL Q,WILEY,0745-5194,1548-1387,ANTHROPOLOGY,SSCI,"1,490",1.9,Q1,0.92,46.99%,MEDICAL ANTHROPOLOGY QUARTERLY
MARINE MAMMAL SCIENCE,MAR MAMMAL SCI,WILEY,0824-0469,1748-7692,ZOOLOGY,SCIE,"4,352",1.9,Q1,0.84,37.82%,MARINE MAMMAL SCIENCE
JOURNAL OF WILDLIFE MANAGEMENT,J WILDLIFE MANAGE,WILEY,0022-541X,1937-2817,ZOOLOGY,SCIE,"10,835",1.9,Q1,0.78,38.73%,JOURNAL OF WILDLIFE MANAGEMENT
JOURNAL OF AVIAN BIOLOGY,J AVIAN BIOL,WILEY,0908-8857,1600-048X,ORNITHOLOGY,SCIE,"3,507",1.8,Q1,1.28,97.47%,JOURNAL OF AVIAN BIOLOGY
MATHEMATICAL METHODS IN THE APPLIED SCIENCES,MATH METHOD APPL SCI,WILEY,0170-4214,1099-1476,"MATHEMATICS, APPLIED",SCIE,"12,871",1.8,Q1,1.21,7.12%,MATHEMATICAL METHODS IN THE APPLIED SCIENCES
FAMILY RELATIONS,FAM RELAT,WILEY,0197-6664,1741-3729,SOCIAL WORK,SSCI,"4,356",1.8,Q1,1.08,32.77%,FAMILY RELATIONS
AMERICAN JOURNAL OF PRIMATOLOGY,AM J PRIMATOL,WILEY,0275-2565,1098-2345,ZOOLOGY,SCIE,"4,951",1.8,Q1,0.97,34.08%,AMERICAN JOURNAL OF PRIMATOLOGY
MIND & LANGUAGE,MIND LANG,WILEY,0268-1064,1468-0017,LINGUISTICS,SSCI,"1,894",1.8,Q1,0.88,39.50%,MIND & LANGUAGE
INTERNATIONAL STATISTICAL REVIEW,INT STAT REV,WILEY,0306-7734,1751-5823,STATISTICS & PROBABILITY,SCIE,"2,824",1.8,Q1,0.76,28.21%,INTERNATIONAL STATISTICAL REVIEW
BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,BRIT J MATH STAT PSY,WILEY,0007-1102,2044-8317,STATISTICS & PROBABILITY,SCIE,"2,749",1.8,Q1,0.66,36%,BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY
BIOMETRICAL JOURNAL,BIOMETRICAL J,WILEY,0323-3847,1521-4036,STATISTICS & PROBABILITY,SCIE,"4,655",1.8,Q1,0.63,44.78%,BIOMETRICAL JOURNAL
STATISTICS IN MEDICINE,STAT MED,WILEY,0277-6715,1097-0258,STATISTICS & PROBABILITY,SCIE,"33,763",1.8,Q1,0.61,29.22%,STATISTICS IN MEDICINE
AMERICAN ANTHROPOLOGIST,AM ANTHROPOL,WILEY,0002-7294,1548-1433,ANTHROPOLOGY,SSCI,"5,595",1.7,Q1,1.38,37.93%,AMERICAN ANTHROPOLOGIST
International Journal of Applied Linguistics,INT J APPL LINGUIST,WILEY,0802-6106,1473-4192,LINGUISTICS,SSCI,"1,201",1.7,Q1,1.29,21.68%,INTERNATIONAL JOURNAL OF APPLIED LINGUISTICS
AMERICAN JOURNAL OF HUMAN BIOLOGY,AM J HUM BIOL,WILEY,1042-0533,1520-6300,ANTHROPOLOGY,SSCI,"4,113",1.7,Q1,0.82,28.32%,AMERICAN JOURNAL OF HUMAN BIOLOGY
ECONOMIC HISTORY REVIEW,ECON HIST REV,WILEY,0013-0117,1468-0289,HISTORY,"AHCI, SSCI","2,808",1.6,Q1,2.56,62.05%,ECONOMIC HISTORY REVIEW
ECONOMIC HISTORY REVIEW,ECON HIST REV,WILEY,0013-0117,1468-0289,HISTORY OF SOCIAL SCIENCES,SSCI,"2,808",1.6,Q1,2.56,62.05%,ECONOMIC HISTORY REVIEW
Law & Policy,LAW POLICY,WILEY,0265-8240,1467-9930,LAW,SSCI,868,1.6,Q1,1.55,50%,LAW & POLICY
PROCEEDINGS OF THE LONDON MATHEMATICAL SOCIETY,P LOND MATH SOC,WILEY,0024-6115,1460-244X,MATHEMATICS,SCIE,"5,484",1.6,Q1,1.38,41.33%,PROCEEDINGS OF THE LONDON MATHEMATICAL SOCIETY
MODERN LAW REVIEW,MOD LAW REV,WILEY,0026-7961,1468-2230,LAW,SSCI,"1,671",1.5,Q1,1.48,78.13%,MODERN LAW REVIEW
Asia Pacific Viewpoint,ASIA PAC VIEWP,WILEY,1360-7456,1467-8373,AREA STUDIES,SSCI,811,1.5,Q1,1.46,37.23%,ASIA PACIFIC VIEWPOINT
AMERICAN BUSINESS LAW JOURNAL,AM BUS LAW J,WILEY,0002-7766,1744-1714,LAW,SSCI,324,1.5,Q1,0.91,37.21%,AMERICAN BUSINESS LAW JOURNAL
Journal of Empirical Legal Studies,J EMPIR LEGAL STUD,WILEY,1740-1453,1740-1461,LAW,SSCI,944,1.3,Q1,1.53,35.96%,JOURNAL OF EMPIRICAL LEGAL STUDIES
Journal of Function Spaces,J FUNCT SPACE,WILEY,2314-8896,2314-8888,MATHEMATICS,SCIE,"1,736",1.3,Q1,1.35,100%,JOURNAL OF FUNCTION SPACES
Journal of Mathematics,J MATH-UK,WILEY,2314-4629,2314-4785,MATHEMATICS,SCIE,"2,868",1.3,Q1,1.1,99.76%,JOURNAL OF MATHEMATICS
BEHAVIORAL SCIENCES & THE LAW,BEHAV SCI LAW,WILEY,0735-3936,1099-0798,LAW,SSCI,"1,749",1.3,Q1,0.92,29.37%,BEHAVIORAL SCIENCES & THE LAW
AUSTRALIAN ECONOMIC HISTORY REVIEW,AUST ECON HIST REV,WILEY,0004-8992,1467-8446,HISTORY OF SOCIAL SCIENCES,SSCI,196,1.3,Q1,0.6,33.33%,AUSTRALIAN ECONOMIC HISTORY REVIEW
HISTORY AND THEORY,HIST THEORY,WILEY,0018-2656,1468-2303,HISTORY,"AHCI, SSCI","1,676",1.2,Q1,3.87,56.48%,HISTORY AND THEORY
JOURNAL OF THE LONDON MATHEMATICAL SOCIETY-SECOND SERIES,J LOND MATH SOC,WILEY,0024-6107,1469-7750,MATHEMATICS,SCIE,"5,036",1.2,Q1,0.97,38.98%,JOURNAL OF THE LONDON MATHEMATICAL SOCIETY-SECOND SERIES
Digest of Middle East Studies,DIG MIDDLE EAST STUD,WILEY,1060-4367,1949-3606,AREA STUDIES,ESCI,194,1.2,Q1,0.88,36.07%,DIGEST OF MIDDLE EAST STUDIES
Journal of Topology,J TOPOL,WILEY,1753-8416,1753-8424,MATHEMATICS,SCIE,839,1.1,Q1,0.87,27.78%,JOURNAL OF TOPOLOGY
MIDDLE EAST POLICY,MIDDLE EAST POLICY,WILEY,1061-1924,1475-4967,AREA STUDIES,SSCI,501,1.1,Q1,0.78,24.17%,MIDDLE EAST POLICY
INTERNATIONAL JOURNAL OF MATHEMATICS AND MATHEMATICAL SCIENCES,INT J MATH MATH SCI,WILEY,0161-1712,1687-0425,MATHEMATICS,ESCI,"1,374",1.1,Q1,0.62,100%,INTERNATIONAL JOURNAL OF MATHEMATICS AND MATHEMATICAL SCIENCES
History Compass,HISTORY COMPASS,WILEY,1478-0542,1478-0542,HISTORY,ESCI,879,0.6,Q1,1.85,43.75%,HISTORY COMPASS
AUSTRALIAN JOURNAL OF POLITICS AND HISTORY,AUST J POLIT HIST,WILEY,0004-9522,1467-8497,HISTORY,"AHCI, SSCI",429,0.6,Q1,1.16,49.65%,AUSTRALIAN JOURNAL OF POLITICS AND HISTORY
JOURNAL OF HISTORICAL SOCIOLOGY,J HIST SOCIOL,WILEY,0952-1909,1467-6443,HISTORY,SSCI,732,0.6,Q1,1.12,20%,JOURNAL OF HISTORICAL SOCIOLOGY
HISTORY,HISTORY-UK,WILEY,N/A,1468-229X,HISTORY,AHCI,235,0.5,Q1,1.3,57.83%,HISTORY
ChemSusChem,CHEMSUSCHEM,WILEY-V C H VERLAG GMBH,1864-5631,1864-564X,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SCIE,"40,751",6.6,Q2,1.01,24.22%,CHEMSUSCHEM
Advanced Materials Technologies,ADV MATER TECHNOL-US,WILEY,2365-709X,2365-709X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"23,748",6.2,Q2,0.89,28.20%,ADVANCED MATERIALS TECHNOLOGIES
Advanced Sustainable Systems,ADV SUSTAIN SYST,WILEY-V C H VERLAG GMBH,2366-7486,2366-7486,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SCIE,"5,691",6.1,Q2,0.89,25.80%,ADVANCED SUSTAINABLE SYSTEMS
Advanced Sustainable Systems,ADV SUSTAIN SYST,WILEY-V C H VERLAG GMBH,2366-7486,2366-7486,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"5,691",6.1,Q2,0.89,25.80%,ADVANCED SUSTAINABLE SYSTEMS
Wiley Interdisciplinary Reviews-Energy and Environment,WIRES ENERGY ENVIRON,"WILEY PERIODICALS, INC",2041-8396,2041-840X,ENERGY & FUELS,SCIE,"1,890",6,Q2,0.48,43%,WILEY INTERDISCIPLINARY REVIEWS-ENERGY AND ENVIRONMENT
Advanced Energy and Sustainability Research,ADV ENERG SUST RES,WILEY,2699-9412,2699-9412,ENERGY & FUELS,ESCI,"3,182",5.7,Q2,0.7,97.36%,ADVANCED ENERGY AND SUSTAINABILITY RESEARCH
Advanced Energy and Sustainability Research,ADV ENERG SUST RES,WILEY,2699-9412,2699-9412,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,ESCI,"3,182",5.7,Q2,0.7,97.36%,ADVANCED ENERGY AND SUSTAINABILITY RESEARCH
Advanced Energy and Sustainability Research,ADV ENERG SUST RES,WILEY,2699-9412,2699-9412,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,"3,182",5.7,Q2,0.7,97.36%,ADVANCED ENERGY AND SUSTAINABILITY RESEARCH
CELL PROLIFERATION,CELL PROLIFERAT,WILEY,0960-7722,1365-2184,CELL BIOLOGY,SCIE,"9,440",5.6,Q2,0.82,98.84%,CELL PROLIFERATION
CHINESE JOURNAL OF CHEMISTRY,CHINESE J CHEM,WILEY-V C H VERLAG GMBH,1001-604X,1614-7065,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,"10,698",5.5,Q2,0.89,1.97%,CHINESE JOURNAL OF CHEMISTRY
JOURNAL OF INDUSTRIAL ECOLOGY,J IND ECOL,WILEY,1088-1980,1530-9290,"ENGINEERING, ENVIRONMENTAL",SCIE,"9,904",5.4,Q2,0.86,61.81%,JOURNAL OF INDUSTRIAL ECOLOGY
JOURNAL OF INDUSTRIAL ECOLOGY,J IND ECOL,WILEY,1088-1980,1530-9290,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SCIE,"9,904",5.4,Q2,0.86,61.81%,JOURNAL OF INDUSTRIAL ECOLOGY
Advanced Electronic Materials,ADV ELECTRON MATER,WILEY,2199-160X,2199-160X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"17,906",5.3,Q2,0.85,80.10%,ADVANCED ELECTRONIC MATERIALS
Advanced Electronic Materials,ADV ELECTRON MATER,WILEY,2199-160X,2199-160X,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"17,906",5.3,Q2,0.85,80.10%,ADVANCED ELECTRONIC MATERIALS
Journal of Field Robotics,J FIELD ROBOT,WILEY,1556-4959,1556-4967,ROBOTICS,SCIE,"5,992",5.2,Q2,1.06,19.05%,JOURNAL OF FIELD ROBOTICS
Journal of the International AIDS Society,J INT AIDS SOC,JOHN WILEY & SONS LTD,N/A,1758-2652,IMMUNOLOGY,SCIE,"7,086",4.9,Q2,0.95,97.20%,JOURNAL OF THE INTERNATIONAL AIDS SOCIETY
HLA,HLA,WILEY,2059-2302,2059-2310,CELL BIOLOGY,SCIE,"2,272",4.9,Q2,0.67,15.94%,HLA
HLA,HLA,WILEY,2059-2302,2059-2310,IMMUNOLOGY,SCIE,"2,272",4.9,Q2,0.67,15.94%,HLA
IET Nanobiotechnology,IET NANOBIOTECHNOL,WILEY,1751-8741,1751-875X,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"2,961",4.9,Q2,0.65,95.06%,IET NANOBIOTECHNOLOGY
JOURNAL OF COMPUTATIONAL CHEMISTRY,J COMPUT CHEM,WILEY,0192-8651,1096-987X,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,"61,342",4.8,Q2,0.66,25.25%,JOURNAL OF COMPUTATIONAL CHEMISTRY
Wiley Interdisciplinary Reviews-RNA,WIRES RNA,WILEY,1757-7004,1757-7012,CELL BIOLOGY,SCIE,"4,447",4.8,Q2,0.59,30.14%,WILEY INTERDISCIPLINARY REVIEWS-RNA
Global Strategy Journal,GLOB STRATEG J,WILEY,2042-5791,2042-5805,BUSINESS,SSCI,"2,135",4.7,Q2,1.2,50.63%,GLOBAL STRATEGY JOURNAL
Global Strategy Journal,GLOB STRATEG J,WILEY,2042-5791,2042-5805,MANAGEMENT,SSCI,"2,135",4.7,Q2,1.2,50.63%,GLOBAL STRATEGY JOURNAL
POLYMER COMPOSITES,POLYM COMPOSITE,WILEY,0272-8397,1548-0569,"MATERIALS SCIENCE, COMPOSITES",SCIE,"22,940",4.7,Q2,0.83,8.48%,POLYMER COMPOSITES
POLYMER COMPOSITES,POLYM COMPOSITE,WILEY,0272-8397,1548-0569,POLYMER SCIENCE,SCIE,"22,940",4.7,Q2,0.83,8.48%,POLYMER COMPOSITES
Solar RRL,SOL RRL,WILEY-V C H VERLAG GMBH,2367-198X,2367-198X,ENERGY & FUELS,SCIE,"12,962",4.7,Q2,0.8,23.58%,SOLAR RRL
Solar RRL,SOL RRL,WILEY-V C H VERLAG GMBH,2367-198X,2367-198X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"12,962",4.7,Q2,0.8,23.58%,SOLAR RRL
Batteries & Supercaps,BATTERIES SUPERCAPS,WILEY-V C H VERLAG GMBH,N/A,2566-6223,ELECTROCHEMISTRY,SCIE,"4,815",4.7,Q2,0.67,34.84%,BATTERIES & SUPERCAPS
Batteries & Supercaps,BATTERIES SUPERCAPS,WILEY-V C H VERLAG GMBH,N/A,2566-6223,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"4,815",4.7,Q2,0.67,34.84%,BATTERIES & SUPERCAPS
PLOS Sustainability and Transformation,PLOS SUSTAIN TRANSF,PUBLIC LIBRARY SCIENCE,N/A,2767-3197,ENVIRONMENTAL SCIENCES,ESCI,323,4.6,Q2,0.75,99.01%,PLOS SUSTAINABILITY AND TRANSFORMATION
